=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkHMAC_SHA512_SmallEvent-32                         	  884038	      1246 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                         	 1000000	      1265 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                         	2026/04/12 20:10:44 WARN audit: loki retryable error attempt=1 max_retries=1 error="audit: loki request failed: Post \"http://127.0.0.1:44709\": readfrom tcp 127.0.0.1:46956->127.0.0.1:44709: write tcp 127.0.0.1:46956->127.0.0.1:44709: write: connection reset by peer"
2026/04/12 20:10:44 ERROR audit: loki retries exhausted, dropping batch batch_size=100000 max_retries=1
18852710	        73.58 ns/op	      77 B/op	       1 allocs/op
BenchmarkWriteWithMetadata-32            	2026/04/12 20:10:44 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
  914779	      1287 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                         	2026/04/12 20:10:46 WARN audit: loki retryable error attempt=1 max_retries=1 error="audit: loki request failed: Post \"http://127.0.0.1:35901\": readfrom tcp 127.0.0.1:50094->127.0.0.1:35901: write tcp 127.0.0.1:50094->127.0.0.1:35901: write: connection reset by peer"
2026/04/12 20:10:46 ERROR audit: loki retries exhausted, dropping batch batch_size=100000 max_retries=1
18270474	        71.86 ns/op	      77 B/op	       1 allocs/op
BenchmarkWriteWithMetadata-32            	2026/04/12 20:10:46 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
  983871	      1270 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                         	2026/04/12 20:10:47 WARN audit: loki retryable error attempt=1 max_retries=1 error="audit: loki request failed: Post \"http://127.0.0.1:43937\": readfrom tcp 127.0.0.1:44556->127.0.0.1:43937: write tcp 127.0.0.1:44556->127.0.0.1:43937: write: connection reset by peer"
2026/04/12 20:10:47 ERROR audit: loki retries exhausted, dropping batch batch_size=100000 max_retries=1
17506873	        72.18 ns/op	      77 B/op	       1 allocs/op
BenchmarkWriteWithMetadata-32            	2026/04/12 20:10:47 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
 1000000	      1259 ns/op	    1120 B/op	       8 allocs/op
